Time,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8
615,3.11588785,7.25095057,6.882352941,6.731060606,-0.016806723,8.512077295,5.976744186,-0.016949153,8.146892655,7.933333333,8.751196172,0,5.274143302,6.65530303,6.296428571,-0.016666667,8.970873786,4.062052506,3.756880734,-0.048780488,8.04845815,3.00967118,4,-0.00862069,4.390957447,3.715536105,10.97159091,0,7.436734694,6.94980695,9.063414634,-0.008403361,1.84019975,6.292929293,3.642241379,-0.00862069,7.915929204,3.430997877,3.310416667,-0.016949153
630,3.119626168,7.319391635,6.854901961,6.731060606,-0.008403361,8.584541063,6.096345515,-0.016949153,8.338983051,7.986666667,8.80861244,0.008403361,5.320872274,6.71969697,6.335714286,-0.016666667,9.033980583,4.076372315,3.763761468,-0.048780488,8.092511013,3.017408124,4.027227723,-0.00862069,4.420212766,3.72428884,11.03977273,0,7.469387755,6.992277992,9.126829268,-0.008403361,1.838951311,6.306397306,3.631465517,-0.00862069,8,3.435244161,3.316666667,-0.016949153
645,3.097196262,7.368821293,6.8,6.742424242,-0.008403361,8.637681159,6.295681063,-0.016949153,8.836158192,8.053333333,8.861244019,0.008403361,5.352024922,6.772727273,6.378571429,-0.016666667,9.101941748,4.097852029,3.77293578,-0.048780488,8.149779736,3.032882012,4.051980198,-0.00862069,4.454787234,3.737417943,11.10795455,0,7.518367347,7.023166023,9.175609756,-0.008403361,1.84144819,6.326599327,3.620689655,-0.00862069,8.057522124,3.439490446,3.327083333,-0.016949153
660,2.98317757,7.418250951,6.749019608,6.715909091,-0.008403361,8.695652174,6.368770764,-0.016949153,9.542372881,8.106666667,8.885167464,-0.008403361,5.386292835,6.806818182,6.389285714,-0.016666667,9.140776699,4.100238663,3.779816514,-0.048780488,8.18061674,3.036750484,4.069306931,-0.00862069,4.486702128,3.750547046,11.17045455,0,7.546938776,7.05019305,9.234146341,-0.008403361,1.84019975,6.34006734,3.605603448,-0.00862069,8.119469027,3.441613588,3.33125,-0.016949153
675,3.057943925,7.452471483,6.6,6.723484848,-0.008403361,8.734299517,6.415282392,-0.016949153,9.677966102,8.151111111,8.933014354,-0.008403361,5.398753894,6.84469697,6.410714286,-0.016666667,9.189320388,4.116945107,3.78440367,-0.048780488,8.220264317,3.048355899,4.096534653,-0.00862069,4.510638298,3.759299781,11.21590909,0,7.575510204,7.081081081,9.27804878,-0.008403361,1.84019975,6.363636364,3.581896552,-0.00862069,8.172566372,3.450106157,3.335416667,-0.016949153
690,3.125233645,7.482889734,6.349019608,6.75,-0.008403361,8.758454106,6.448504983,-0.016949153,9.124293785,8.204444444,8.961722488,-0.008403361,5.414330218,6.875,6.425,-0.016666667,9.213592233,4.143198091,3.782110092,-0.048780488,8.255506608,3.054158607,4.113861386,-0.017241379,4.537234043,3.757111597,11.26704545,0,7.608163265,7.096525097,9.32195122,-0.008403361,1.842696629,6.373737374,3.564655172,-0.00862069,8.221238938,3.447983015,3.339583333,-0.016949153
705,3.145794393,7.498098859,5.831372549,7.117424242,-0.008403361,8.811594203,6.475083056,-0.016949153,9.564971751,8.24,8.995215311,-0.008403361,5.429906542,6.90530303,6.442857143,-0.016666667,9.266990291,4.143198091,3.78440367,-0.048780488,8.273127753,3.054158607,4.123762376,-0.00862069,4.550531915,3.754923414,11.31818182,0,7.632653061,7.127413127,9.346341463,-0.008403361,1.838951311,6.383838384,3.545258621,-0.00862069,8.265486726,3.450106157,3.339583333,-0.016949153
720,3.138317757,7.520912548,6.780392157,7.276515152,-0.008403361,8.884057971,6.491694352,-0.016949153,9.960451977,8.284444444,9.023923445,-0.008403361,5.448598131,6.935606061,6.464285714,-0.025,9.305825243,4.15274463,3.786697248,-0.048780488,8.299559471,3.067698259,4.143564356,-0.00862069,4.585106383,3.761487965,11.35795455,0,7.648979592,7.154440154,9.385365854,-0.008403361,1.836454432,6.393939394,3.530172414,-0.00862069,8.32300885,3.450106157,3.341666667,-0.016949153
735,3.140186916,7.524714829,7.278431373,7.371212121,0,8.946859903,6.508305648,-0.025423729,9.983050847,8.315555556,9.062200957,-0.008403361,5.470404984,6.962121212,6.485714286,-0.025,9.344660194,4.1575179,3.793577982,-0.048780488,8.334801762,3.071566731,4.163366337,-0.00862069,4.609042553,3.765864333,11.40340909,0,7.673469388,7.177606178,9.419512195,-0.016806723,1.833957553,6.404040404,3.528017241,-0.00862069,8.345132743,3.454352442,3.339583333,-0.016949153
750,3.143925234,7.543726236,7.470588235,7.420454545,-0.008403361,8.980676329,6.508305648,-0.025423729,9.429378531,8.355555556,9.090909091,0,5.482866044,6.992424242,6.492857143,-0.025,9.36407767,4.159904535,3.793577982,-0.048780488,8.356828194,3.071566731,4.180693069,-0.017241379,4.630319149,3.761487965,11.43181818,0,7.697959184,7.177606178,9.443902439,-0.016806723,1.832709114,6.420875421,3.506465517,-0.00862069,8.39380531,3.452229299,3.339583333,-0.016949153
765,3.143925234,7.55513308,7.588235294,7.462121212,0,9.106280193,6.518272425,-0.016949153,9.327683616,8.386666667,9.114832536,0,5.485981308,7.003787879,6.5,-0.025,9.40776699,4.162291169,3.798165138,-0.048780488,8.378854626,3.085106383,4.198019802,-0.017241379,4.654255319,3.754923414,11.46590909,0,7.718367347,7.181467181,9.473170732,-0.008403361,1.830212235,6.420875421,3.502155172,-0.00862069,8.433628319,3.450106157,3.3375,-0.016949153
780,3.143925234,7.562737643,7.643137255,7.477272727,-0.016806723,9.367149758,6.521594684,-0.025423729,9.790960452,8.422222222,9.129186603,-0.008403361,5.495327103,7.015151515,6.514285714,-0.025,9.427184466,4.171837709,3.800458716,-0.048780488,8.400881057,3.087040619,4.21039604,-0.00862069,4.680851064,3.75273523,11.50568182,0,7.726530612,7.212355212,9.492682927,-0.016806723,1.827715356,6.430976431,3.5,-0.00862069,8.446902655,3.456475584,3.341666667,-0.016949153
795,3.151401869,7.566539924,7.690196078,7.484848485,-0.016806723,9.526570048,6.524916944,-0.025423729,9.672316384,8.444444444,9.153110048,-0.008403361,5.507788162,7.037878788,6.525,-0.025,9.427184466,4.169451074,3.800458716,-0.048780488,8.414096916,3.092843327,4.222772277,-0.00862069,4.752659574,3.750547046,11.52840909,0,7.742857143,7.231660232,9.507317073,-0.016806723,1.830212235,6.430976431,3.49137931,-0.00862069,8.513274336,3.450106157,3.335416667,-0.016949153
810,3.157009346,7.566539924,7.721568627,7.5,-0.016806723,9.603864734,6.521594684,-0.025423729,9.757062147,8.475555556,9.162679426,-0.008403361,5.507788162,7.056818182,6.514285714,-0.025,9.480582524,4.183770883,3.802752294,-0.048780488,8.414096916,3.098646035,4.23019802,-0.017241379,4.829787234,3.748358862,11.55113636,0,7.755102041,7.243243243,9.536585366,-0.016806723,1.828963795,6.430976431,3.484913793,-0.00862069,8.544247788,3.447983015,3.3375,-0.016949153
825,3.168224299,7.574144487,7.741176471,7.511363636,-0.016806723,9.657004831,6.521594684,-0.025423729,9.779661017,8.502222222,9.162679426,-0.008403361,5.514018692,7.060606061,6.525,-0.025,9.548543689,4.183770883,3.800458716,-0.048780488,8.444933921,3.094777563,4.245049505,-0.017241379,4.890957447,3.741794311,11.56818182,0,7.763265306,7.243243243,9.556097561,-0.016806723,1.827715356,6.434343434,3.497844828,-0.00862069,8.553097345,3.447983015,3.3375,-0.016949153
840,3.171962617,7.581749049,7.756862745,7.518939394,-0.016806723,9.70531401,6.521594684,-0.025423729,9.768361582,8.502222222,9.177033493,-0.008403361,5.520249221,7.068181818,6.521428571,-0.025,9.660194175,4.171837709,3.802752294,-0.048780488,8.444933921,3.106382979,4.24009901,-0.017241379,4.925531915,3.739606127,11.59659091,-0.008547009,7.767346939,7.266409266,9.570731707,-0.016806723,1.827715356,6.427609428,3.5,-0.00862069,8.584070796,3.44373673,3.335416667,-0.016949153
